chat_id,scenario,scenario_type,message_count,intent,satisfaction,quality_score,rationale,has_mistakes,mistake_count,mistake_ignored_question,mistake_incorrect_info,mistake_rude_tone,mistake_no_resolution,mistake_unnecessary_escalation
2,refund_request,successful case,5,refund_request,satisfied,5,Agent identified the double charge immediately and processed the refund without friction.,False,0,False,False,False,False,False
3,technical_bug,frustrated case,5,technical_bug,unsatisfied,2,The agent provided 'canned' responses that the user had already tried and failed to offer a technical escalation.,True,2,False,False,False,False,False
4,account_access,successful case,5,account_access,satisfied,5,Agent followed security protocols efficiently while maintaining a helpful tone.,False,0,False,False,False,False,False
5,feature_inquiry,neutral case,5,feature_inquiry,neutral,4,The agent answered questions accurately but didn't proactively try to sell the benefits of the Business plan.,False,0,False,False,False,False,False
6,billing_dispute,unsuccessful case,5,billing_dispute,very_unsatisfied,1,Agent hid behind policy instead of resolving a clear UX failure where the user thought they had cancelled.,True,2,False,False,False,False,False
7,cancel_subscription,successful case,5,cancel_subscription,satisfied,5,Successful retention through a well-timed promotional offer.,False,0,False,False,False,False,False
8,wrong_item_received,successful case,4,wrong_item_received,very_satisfied,5,Agent went above and beyond to resolve a physical product error.,False,0,False,False,False,False,False
9,delivery_status,neutral case,5,delivery_status,neutral,4,Agent explained the delay clearly and offered a small token of goodwill.,False,0,False,False,False,False,False
10,password_reset,successful case,5,password_reset,satisfied,5,Agent moved quickly to a secondary solution when the standard method failed.,False,0,False,False,False,False,False
11,service_outage,frustrated case,5,service_outage,unsatisfied,2,Agent initially blamed the user's internet before acknowledging a known system-wide issue.,True,2,False,False,False,False,False
